timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-12-07 21:38:20,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 166.0 seconds remaining.,[]
2024-12-07 21:38:48,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 172.0 seconds remaining.,[]
2024-12-07 21:41:17,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro siesta: 2.0 segundos'],|,False,Counting pitches...,[],|,False,Counting yawns... 173.0 seconds remaining.,[]
2024-12-07 21:41:23,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro siesta: 2.0 segundos', '2 micro siesta: 4.0 segundos']",|,False,Counting pitches...,[],|,False,Counting yawns... 168.0 seconds remaining.,[]
2024-12-07 21:41:34,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro siesta: 2.0 segundos', '2 micro siesta: 4.0 segundos', '3 micro siesta: 5.0 segundos']",|,False,Counting pitches...,[],|,False,Counting yawns... 157.0 seconds remaining.,[]
2024-12-07 21:41:49,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro siesta: 2.0 segundos', '2 micro siesta: 4.0 segundos', '3 micro siesta: 5.0 segundos', '4 micro siesta: 2.0 segundos']",|,False,Counting pitches...,[],|,False,Counting yawns... 142.0 seconds remaining.,[]
2024-12-07 21:42:03,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro siesta: 2.0 segundos', '2 micro siesta: 4.0 segundos', '3 micro siesta: 5.0 segundos', '4 micro siesta: 2.0 segundos', '5 micro siesta: 3.0 segundos']",|,False,Counting pitches...,[],|,False,Counting yawns... 128.0 seconds remaining.,[]
2024-12-07 21:42:10,False,0,[],|,False,0,[],|,True,9,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 21:42:20,False,0,[],|,False,0,[],|,False,Counting flickers... 50.0 seconds remaining.,|,False,0,[],|,True,1,['1 cabeceo: 6.0 segundos'],|,False,Counting yawns... 110.0 seconds remaining.,[]
2024-12-07 21:45:57,False,0,[],|,False,0,[],|,False,Counting flickers... 9.0 seconds remaining.,|,False,0,[],|,True,1,['1 cabeceo: 11.0 segundos'],|,False,Counting yawns... 129.0 seconds remaining.,[]
2024-12-07 21:46:06,False,0,[],|,False,0,[],|,True,5,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 21:46:16,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro siesta: 3.0 segundos'],|,False,Counting pitches...,[],|,False,Counting yawns... 110.0 seconds remaining.,[]
2024-12-07 21:46:21,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro siesta: 3.0 segundos', '2 micro siesta: 3.0 segundos']",|,False,Counting pitches...,[],|,False,Counting yawns... 105.0 seconds remaining.,[]
2024-12-07 21:46:55,False,0,[],|,False,0,[],|,False,Counting flickers... 11.0 seconds remaining.,|,False,0,[],|,True,2,"['1 cabeceo: 11.0 segundos', '2 cabeceo: 5.0 segundos']",|,False,Counting yawns... 71.0 seconds remaining.,[]
2024-12-16 14:20:21,False,0,[],|,False,0,[],|,False,Counting flickers... 19.0 seconds remaining.,|,False,0,[],|,True,1,['1 cabeceo: 3.0 segundos'],|,False,Counting yawns... 139.0 seconds remaining.,[]
2024-12-16 14:20:40,False,0,[],|,False,0,[],|,True,6,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-16 14:20:45,False,0,[],|,False,0,[],|,False,Counting flickers... 55.0 seconds remaining.,|,False,0,[],|,True,2,"['1 cabeceo: 3.0 segundos', '2 cabeceo: 7.0 segundos']",|,False,Counting yawns... 116.0 seconds remaining.,[]
2024-12-16 14:20:54,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro siesta: 6.0 segundos'],|,False,Counting pitches...,[],|,False,Counting yawns... 107.0 seconds remaining.,[]
2024-12-16 14:21:01,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro siesta: 6.0 segundos', '2 micro siesta: 3.0 segundos']",|,False,Counting pitches...,[],|,False,Counting yawns... 100.0 seconds remaining.,[]
